Customer_ID,Customer_Name,Gender,Age,Country,City,Registration_Date,Customer_Segment,Loyalty_Level,Total_Orders,Customer_Rating
C0001,Customer 1,Female,25,Oman,Muscat,8/17/2021 0:00,Consumer,Gold,26,4.3
C0002,Customer 2,Male,38,Saudi Arabia,Dammam,10/15/2021 0:00,SMB,Gold,31,3.1
C0003,Customer 3,Male,26,Saudi Arabia,Dammam,8/1/2025 0:00,SMB,Gold,21,4.9
C0004,Customer 4,Female,48,Saudi Arabia,Dammam,9/5/2020 0:00,Corporate,Platinum,27,3.2
C0005,Customer 5,Male,23,Saudi Arabia,Dammam,4/19/2020 0:00,Corporate,Platinum,17,4.2
C0006,Customer 6,Male,53,Kuwait,Kuwait City,10/10/2025 0:00,SMB,Silver,14,3.9
C0007,Customer 7,Male,53,UAE,Dubai,10/6/2024 0:00,Consumer,Gold,24,3.6
C0008,Customer 8,Female,18,Kuwait,Kuwait City,8/30/2025 0:00,Corporate,Silver,19,4.5
C0009,Customer 9,Female,26,UAE,Dubai,6/24/2025 0:00,Corporate,Platinum,50,3.4
C0010,Customer 10,Female,33,UAE,Abu Dhabi,1/21/2022 0:00,Corporate,Platinum,28,4.7
C0011,Customer 11,Male,51,Oman,Muscat,11/2/2025 0:00,Consumer,Platinum,34,4.3
C0012,Customer 12,Female,49,Qatar,Doha,12/4/2020 0:00,Consumer,Silver,48,3.8
C0013,Customer 13,Male,39,Kuwait,Kuwait City,1/9/2021 0:00,Corporate,Silver,34,3.4
C0014,Customer 14,Male,47,UAE,Dubai,4/24/2025 0:00,Corporate,Silver,48,3.7
C0015,Customer 15,Female,23,Qatar,Doha,8/21/2025 0:00,SMB,Gold,50,4.9
C0016,Customer 16,Male,22,Qatar,Doha,6/8/2022 0:00,SMB,Platinum,33,4.7
C0017,Customer 17,Male,45,Qatar,Doha,10/22/2023 0:00,Consumer,Silver,40,3.6
C0018,Customer 18,Female,39,Kuwait,Kuwait City,10/2/2025 0:00,Consumer,Platinum,30,3.1
C0019,Customer 19,Male,32,UAE,Abu Dhabi,10/1/2020 0:00,SMB,Silver,50,3.2
C0020,Customer 20,Female,30,Saudi Arabia,Dammam,2/1/2024 0:00,Consumer,Platinum,19,3.9
C0021,Customer 21,Male,31,Oman,Muscat,3/6/2020 0:00,SMB,Silver,42,4.2
C0022,Customer 22,Male,20,Oman,Muscat,8/10/2025 0:00,Consumer,Silver,38,3.9
C0023,Customer 23,Female,54,UAE,Abu Dhabi,7/2/2024 0:00,Corporate,Gold,47,3.3
C0024,Customer 24,Female,34,UAE,Abu Dhabi,7/21/2022 0:00,SMB,Platinum,37,3.1
C0025,Customer 25,Male,41,Oman,Muscat,2/26/2022 0:00,SMB,Gold,41,4.2
C0026,Customer 26,Female,43,Saudi Arabia,Jeddah,3/29/2025 0:00,SMB,Platinum,21,3.6
C0027,Customer 27,Female,50,Qatar,Doha,5/7/2021 0:00,Corporate,Platinum,48,4.6
