Delivery_ID,Payment_ID,Order_ID,Delivery_Method,Delivery_Status,Delivery_Days,Payment_Method,Payment_Status,Customer_Rating,Review_Score,Return_Flag,Return_Reason
D00001,PAY00001,O00001,Standard,Delivered,6,Cash On Delivery,Pending,5,2,No,Late Delivery
D00002,PAY00002,O00002,Express,Returned,1,Cash On Delivery,Refunded,3,8,Yes,N/A
D00003,PAY00003,O00003,Express,Returned,1,Cash On Delivery,Refunded,2,7,No,Late Delivery
D00004,PAY00004,O00004,Same Day,Delivered,8,Apple Pay,Paid,1,1,No,Damaged
D00005,PAY00005,O00005,Express,Delivered,5,Credit Card,Refunded,2,4,No,Wrong Item
D00006,PAY00006,O00006,Same Day,Delivered,1,Mada,Paid,5,3,Yes,Damaged
D00007,PAY00007,O00007,Standard,Delivered,6,STC Pay,Paid,2,7,No,Damaged
D00008,PAY00008,O00008,Express,Returned,2,Apple Pay,Pending,1,1,No,N/A
D00009,PAY00009,O00009,Same Day,Delivered,9,Debit Card,Paid,1,5,No,Late Delivery
D00010,PAY00010,O00010,Express,In Transit,9,Debit Card,Paid,3,7,Yes,Late Delivery
D00011,PAY00011,O00011,Same Day,Delivered,5,Apple Pay,Paid,3,7,No,Late Delivery
D00012,PAY00012,O00012,Same Day,Returned,1,Mada,Refunded,3,5,No,Wrong Item
D00013,PAY00013,O00013,Express,Returned,5,Apple Pay,Paid,2,4,Yes,Wrong Item
D00014,PAY00014,O00014,Express,Returned,6,Mada,Pending,1,4,Yes,Damaged
D00015,PAY00015,O00015,Express,Delivered,3,Mada,Pending,1,10,Yes,Wrong Item
D00016,PAY00016,O00016,Standard,Delivered,6,Debit Card,Refunded,2,6,Yes,Late Delivery
D00017,PAY00017,O00017,Standard,Returned,9,Apple Pay,Refunded,3,3,Yes,Wrong Item
D00018,PAY00018,O00018,Express,Returned,5,Apple Pay,Paid,3,1,Yes,Damaged
D00019,PAY00019,O00019,Standard,In Transit,7,Cash On Delivery,Paid,4,9,Yes,Damaged
D00020,PAY00020,O00020,Standard,In Transit,6,Apple Pay,Pending,5,2,Yes,Wrong Item
D00021,PAY00021,O00021,Express,Delivered,1,Apple Pay,Paid,4,2,Yes,Damaged
D00022,PAY00022,O00022,Standard,Delivered,8,Credit Card,Refunded,3,4,Yes,Damaged
D00023,PAY00023,O00023,Same Day,Delivered,2,Debit Card,Refunded,3,3,No,N/A
D00024,PAY00024,O00024,Same Day,Returned,10,Debit Card,Refunded,2,1,No,Wrong Item
D00025,PAY00025,O00025,Same Day,Returned,10,Debit Card,Paid,1,10,Yes,N/A
D00026,PAY00026,O00026,Standard,Returned,6,Cash On Delivery,Paid,1,4,Yes,Wrong Item
D00027,PAY00027,O00027,Same Day,Delivered,8,Credit Card,Pending,1,4,Yes,Damaged
D00028,PAY00028,O00028,Standard,In Transit,8,Credit Card,Pending,5,1,No,N/A
D00029,PAY00029,O00029,Same Day,Returned,2,Credit Card,Paid,3,8,Yes,Late Delivery
D00030,PAY00030,O00030,Express,In Transit,9,Credit Card,Paid,3,1,Yes,N/A
D00031,PAY00031,O00031,Same Day,Delivered,10,Cash On Delivery,Refunded,4,3,No,Late Delivery
D00032,PAY00032,O00032,Standard,Delivered,6,Cash On Delivery,Refunded,2,4,Yes,N/A
D00033,PAY00033,O00033,Express,Delivered,10,Credit Card,Pending,5,1,Yes,Damaged
D00034,PAY00034,O00034,Standard,In Transit,3,Mada,Refunded,5,5,Yes,Wrong Item
D00035,PAY00035,O00035,Standard,Delivered,10,STC Pay,Paid,5,9,Yes,Wrong Item
D00036,PAY00036,O00036,Express,In Transit,9,Mada,Refunded,1,3,No,Wrong Item
D00037,PAY00037,O00037,Same Day,In Transit,3,Credit Card,Paid,4,7,No,N/A
D00038,PAY00038,O00038,Same Day,Returned,2,Apple Pay,Pending,4,10,No,N/A
D00039,PAY00039,O00039,Standard,In Transit,7,Debit Card,Pending,5,7,No,Late Delivery
D00040,PAY00040,O00040,Express,Returned,4,Cash On Delivery,Refunded,2,4,No,N/A
D00041,PAY00041,O00041,Same Day,Delivered,3,STC Pay,Pending,3,5,No,Damaged
D00042,PAY00042,O00042,Express,Returned,5,Cash On Delivery,Pending,3,8,Yes,N/A
D00043,PAY00043,O00043,Standard,Returned,8,Debit Card,Paid,1,2,Yes,Damaged
D00044,PAY00044,O00044,Standard,Returned,8,Mada,Pending,4,3,No,Damaged
D00045,PAY00045,O00045,Standard,Returned,8,Debit Card,Paid,1,2,No,Late Delivery
D00046,PAY00046,O00046,Same Day,Delivered,8,STC Pay,Paid,3,5,Yes,Late Delivery
D00047,PAY00047,O00047,Same Day,In Transit,7,STC Pay,Refunded,2,7,No,Damaged
D00048,PAY00048,O00048,Standard,Delivered,4,STC Pay,Refunded,2,5,No,N/A
D00049,PAY00049,O00049,Same Day,Returned,6,Apple Pay,Refunded,2,4,Yes,Wrong Item
D00050,PAY00050,O00050,Standard,In Transit,6,Debit Card,Refunded,1,3,No,Late Delivery
D00051,PAY00051,O00051,Same Day,Delivered,5,Credit Card,Refunded,3,9,No,N/A
D00052,PAY00052,O00052,Same Day,Delivered,6,Credit Card,Pending,3,2,Yes,Late Delivery
D00053,PAY00053,O00053,Express,Delivered,6,Debit Card,Pending,3,9,No,N/A
D00054,PAY00054,O00054,Express,In Transit,2,STC Pay,Pending,3,5,No,Damaged
D00055,PAY00055,O00055,Same Day,Returned,6,Mada,Pending,2,9,No,Late Delivery
D00056,PAY00056,O00056,Express,Delivered,6,Debit Card,Paid,2,3,Yes,N/A
D00057,PAY00057,O00057,Same Day,In Transit,3,Mada,Refunded,2,7,No,Damaged
D00058,PAY00058,O00058,Same Day,Returned,6,Mada,Paid,3,2,Yes,Wrong Item
D00059,PAY00059,O00059,Standard,Returned,1,STC Pay,Refunded,1,5,Yes,Late Delivery
D00060,PAY00060,O00060,Express,Delivered,5,Credit Card,Paid,4,8,No,N/A
D00061,PAY00061,O00061,Express,In Transit,9,Credit Card,Paid,1,6,Yes,Damaged
