Product_ID,Product_Name,Category,Sub_Category,Brand,Cost_Price,Selling_Price,Supplier,Launch_Date
P001,Product 1,Home Appliances,SubCat 3,Brand 30,75.52,122.59,Supplier 17,5/25/2022 0:00
P002,Product 2,Home Appliances,SubCat 9,Brand 28,348.12,489.56,Supplier 14,8/30/2025 0:00
P003,Product 3,Grocery,SubCat 8,Brand 29,497.7,864.4,Supplier 14,7/31/2021 0:00
P004,Product 4,Home Appliances,SubCat 1,Brand 24,50.55,78.18,Supplier 7,1/21/2024 0:00
P005,Product 5,Fashion,SubCat 3,Brand 2,214.33,382.4,Supplier 10,7/23/2025 0:00
P006,Product 6,Beauty,SubCat 9,Brand 11,290.59,486.03,Supplier 10,4/8/2023 0:00
P007,Product 7,Grocery,SubCat 8,Brand 15,319.89,454.79,Supplier 8,5/5/2024 0:00
P008,Product 8,Electronics,SubCat 6,Brand 10,517.39,758.55,Supplier 9,1/7/2022 0:00
P009,Product 9,Sports,SubCat 10,Brand 4,49.25,80.35,Supplier 3,5/29/2025 0:00
P010,Product 10,Home Appliances,SubCat 7,Brand 27,254.68,414.07,Supplier 17,11/26/2020 0:00
P011,Product 11,Fashion,SubCat 1,Brand 18,417.95,586.48,Supplier 16,10/28/2020 0:00
P012,Product 12,Books,SubCat 3,Brand 1,519.62,598.36,Supplier 3,9/20/2021 0:00
P013,Product 13,Books,SubCat 8,Brand 12,593.26,675.21,Supplier 14,2/5/2024 0:00
P014,Product 14,Home Appliances,SubCat 1,Brand 4,590,1061.45,Supplier 4,9/2/2023 0:00
P015,Product 15,Home Appliances,SubCat 10,Brand 30,41.66,46.29,Supplier 11,4/14/2022 0:00
P016,Product 16,Fashion,SubCat 7,Brand 5,179.52,227.24,Supplier 18,12/2/2021 0:00
P017,Product 17,Books,SubCat 1,Brand 4,19.92,25.86,Supplier 9,11/14/2023 0:00
P018,Product 18,Sports,SubCat 1,Brand 4,912.55,1288.51,Supplier 13,6/11/2022 0:00
P019,Product 19,Beauty,SubCat 5,Brand 11,673.27,1141.88,Supplier 7,5/3/2022 0:00
P020,Product 20,Books,SubCat 5,Brand 11,929.04,1198.37,Supplier 5,10/18/2023 0:00
P021,Product 21,Beauty,SubCat 5,Brand 14,678.53,861.36,Supplier 12,2/5/2024 0:00
P022,Product 22,Fashion,SubCat 8,Brand 27,510.6,564.22,Supplier 15,12/6/2022 0:00
P023,Product 23,Books,SubCat 5,Brand 6,11.36,14.17,Supplier 6,3/20/2024 0:00
P024,Product 24,Home Appliances,SubCat 1,Brand 23,925.86,1639.25,Supplier 20,9/5/2020 0:00
P025,Product 25,Books,SubCat 3,Brand 16,952.01,1139.29,Supplier 6,11/1/2025 0:00
P026,Product 26,Home Appliances,SubCat 8,Brand 10,270.51,405.07,Supplier 10,2/3/2020 0:00
P027,Product 27,Books,SubCat 10,Brand 16,919.75,1388.87,Supplier 11,3/30/2023 0:00
P028,Product 28,Beauty,SubCat 5,Brand 21,980.61,1257.72,Supplier 10,12/3/2021 0:00
P029,Product 29,Electronics,SubCat 4,Brand 5,714.66,977.52,Supplier 18,10/9/2024 0:00
P030,Product 30,Home Appliances,SubCat 1,Brand 27,177.8,225.41,Supplier 4,11/28/2022 0:00
P031,Product 31,Books,SubCat 5,Brand 28,179.72,245.6,Supplier 4,1/8/2022 0:00
P032,Product 32,Grocery,SubCat 10,Brand 1,347.32,551.92,Supplier 16,2/5/2023 0:00
P033,Product 33,Home Appliances,SubCat 10,Brand 11,646.76,899.82,Supplier 17,7/21/2021 0:00
P034,Product 34,Home Appliances,SubCat 9,Brand 12,913.01,1141.22,Supplier 11,6/29/2025 0:00
P035,Product 35,Fashion,SubCat 5,Brand 19,712.75,972.75,Supplier 17,9/11/2023 0:00
P036,Product 36,Books,SubCat 9,Brand 6,167.95,185.31,Supplier 12,8/14/2025 0:00
