Order_ID,Order_Date,Customer_ID,Product_ID,Employee_ID,Branch_ID,Payment_ID,Delivery_ID,Quantity,Unit_Price,Discount,Sales_Amount,Cost,Profit,Sales_Target,Order_Status
O00001,2/11/2022 0:00,C0835,P022,E030,B12,PAY00001,D00001,5,645.17,0.15,2741.97,2053.85,688.12,2131,Cancelled
O00002,4/20/2023 0:00,C0168,P249,E047,B03,PAY00002,D00002,5,850.86,0.18,3488.53,2646.83,841.7,4475,Pending
O00003,12/13/2024 0:00,C0630,P101,E052,B11,PAY00003,D00003,5,285.65,0.01,1413.97,983.55,430.42,792,Cancelled
O00004,10/6/2021 0:00,C1181,P285,E041,B08,PAY00004,D00004,3,387.37,0.11,1034.28,808.89,225.39,2839,Delivered
O00005,1/29/2023 0:00,C0582,P021,E126,B15,PAY00005,D00005,5,695.19,0.1,3128.36,1949.92,1178.44,2229,Cancelled
O00006,10/17/2025 0:00,C0901,P002,E145,B04,PAY00006,D00006,1,86.65,0.15,73.65,45.59,28.06,2723,Pending
O00007,5/9/2024 0:00,C1136,P152,E003,B10,PAY00007,D00007,4,1021.42,0.04,3922.25,2784.7,1137.55,4401,Pending
O00008,10/27/2023 0:00,C0932,P251,E063,B01,PAY00008,D00008,3,1328.75,0.13,3468.04,2085.27,1382.77,1105,Delivered
O00009,9/30/2025 0:00,C0428,P263,E045,B08,PAY00009,D00009,4,61.31,0.06,230.53,164.19,66.34,3986,Pending
O00010,10/17/2020 0:00,C0978,P186,E140,B09,PAY00010,D00010,1,1054.46,0.05,1001.74,870.81,130.93,3780,Pending
O00011,11/20/2025 0:00,C0827,P218,E118,B09,PAY00011,D00011,1,1096.23,0.08,1008.53,628.24,380.29,1597,Delivered
O00012,7/3/2020 0:00,C1098,P184,E044,B14,PAY00012,D00012,3,700.81,0.01,2081.41,1306.68,774.73,3351,Pending
O00013,6/14/2020 0:00,C0912,P246,E059,B02,PAY00013,D00013,3,968.69,0.13,2528.28,1555.2,973.08,4577,Cancelled
O00014,9/15/2023 0:00,C0891,P047,E087,B07,PAY00014,D00014,4,390.27,0.1,1404.97,848.19,556.78,1283,Cancelled
O00015,10/17/2021 0:00,C0142,P230,E077,B04,PAY00015,D00015,4,332.02,0.17,1102.31,750.92,351.39,3176,Delivered
O00016,7/26/2021 0:00,C0355,P282,E148,B03,PAY00016,D00016,2,1264.87,0.06,2377.96,1449.05,928.91,1439,Delivered
O00017,6/4/2022 0:00,C0518,P160,E049,B03,PAY00017,D00017,3,65.39,0.09,178.51,123.35,55.16,4933,Delivered
O00018,2/24/2020 0:00,C1165,P176,E052,B09,PAY00018,D00018,5,699.59,0.03,3393.01,2510.47,882.54,3562,Pending
O00019,5/29/2024 0:00,C0726,P251,E056,B12,PAY00019,D00019,2,810.09,0.1,1458.16,956.97,501.19,3845,Cancelled
O00020,10/16/2025 0:00,C0456,P121,E129,B01,PAY00020,D00020,4,1274.25,0.07,4740.21,3171.04,1569.17,513,Pending
O00021,4/25/2023 0:00,C0717,P070,E143,B03,PAY00021,D00021,2,351.59,0.08,646.93,483.44,163.49,1013,Cancelled
O00022,1/24/2020 0:00,C0260,P164,E036,B15,PAY00022,D00022,4,492.19,0.14,1693.13,1397.26,295.87,517,Cancelled
O00023,9/30/2023 0:00,C1005,P221,E134,B06,PAY00023,D00023,3,486.22,0.13,1269.03,1008.44,260.59,4201,Pending
O00024,10/1/2022 0:00,C0085,P051,E108,B03,PAY00024,D00024,2,994.56,0.13,1730.53,1372.71,357.82,4105,Cancelled
O00025,12/1/2024 0:00,C0223,P025,E110,B13,PAY00025,D00025,3,1180.5,0.16,2974.86,1864.32,1110.54,4923,Cancelled
O00026,6/17/2023 0:00,C0509,P250,E105,B12,PAY00026,D00026,2,235.07,0.1,423.13,314.31,108.82,775,Pending
O00027,7/11/2020 0:00,C0948,P244,E010,B07,PAY00027,D00027,3,135.45,0.06,381.97,296.49,85.48,2011,Cancelled
O00028,6/3/2024 0:00,C0077,P207,E002,B14,PAY00028,D00028,5,817.26,0.06,3841.12,3407.74,433.38,2560,Pending
O00029,9/9/2025 0:00,C0322,P240,E095,B03,PAY00029,D00029,2,1376.12,0.01,2724.72,2334.63,390.09,2608,Pending
O00030,1/2/2020 0:00,C0354,P224,E091,B01,PAY00030,D00030,3,836.14,0.16,2107.07,1539.04,568.03,2918,Cancelled
O00031,2/2/2022 0:00,C0824,P297,E055,B11,PAY00031,D00031,3,1056.15,0.18,2598.13,1665.94,932.19,2209,Pending
O00032,2/10/2021 0:00,C0561,P090,E098,B02,PAY00032,D00032,3,563.26,0.08,1554.6,1155.11,399.49,2188,Pending
O00033,10/28/2025 0:00,C0568,P271,E134,B04,PAY00033,D00033,4,1131.39,0.03,4389.79,3397.5,992.29,1936,Cancelled
O00034,6/11/2023 0:00,C0958,P285,E025,B04,PAY00034,D00034,2,1441.32,0.1,2594.38,1664.53,929.85,3654,Cancelled
O00035,5/18/2020 0:00,C0259,P130,E121,B14,PAY00035,D00035,1,48.45,0.02,47.48,32.83,14.65,3922,Delivered
O00036,2/17/2023 0:00,C0529,P219,E144,B05,PAY00036,D00036,5,587.6,0.13,2556.06,1589.82,966.24,1211,Delivered
O00037,8/1/2020 0:00,C0609,P252,E039,B11,PAY00037,D00037,1,1486.17,0.17,1233.52,1049.48,184.04,4429,Pending
O00038,5/7/2023 0:00,C0387,P261,E008,B14,PAY00038,D00038,1,733.01,0.17,608.4,411.82,196.58,2143,Delivered
O00039,5/8/2022 0:00,C1137,P263,E026,B07,PAY00039,D00039,4,415.08,0.02,1627.11,1375.5,251.61,1542,Delivered
O00040,7/15/2024 0:00,C0726,P104,E135,B13,PAY00040,D00040,4,250.99,0.01,993.92,823.13,170.79,3312,Cancelled
O00041,9/6/2024 0:00,C0286,P170,E140,B04,PAY00041,D00041,1,556.56,0.12,489.77,437.67,52.1,1758,Pending
O00042,2/11/2023 0:00,C0152,P084,E024,B13,PAY00042,D00042,2,852.07,0.09,1550.77,1353.75,197.02,2097,Delivered
O00043,7/4/2021 0:00,C0145,P057,E074,B05,PAY00043,D00043,4,136.79,0.06,514.33,316.31,198.02,3280,Pending
O00044,3/25/2020 0:00,C1014,P126,E136,B05,PAY00044,D00044,1,391.7,0.06,368.2,326.04,42.16,544,Cancelled
O00045,1/9/2023 0:00,C0120,P011,E061,B03,PAY00045,D00045,4,744.96,0.03,2890.44,2426.49,463.95,3323,Delivered
O00046,11/23/2022 0:00,C0331,P030,E134,B02,PAY00046,D00046,2,632.07,0.04,1213.57,1045.74,167.83,1673,Pending
O00047,10/12/2020 0:00,C0038,P186,E019,B13,PAY00047,D00047,2,774.8,0.11,1379.14,1111.94,267.2,4139,Delivered
O00048,7/7/2021 0:00,C0944,P036,E105,B04,PAY00048,D00048,4,589.62,0.11,2099.05,1465.9,633.15,3322,Pending
O00049,1/22/2024 0:00,C0096,P241,E082,B09,PAY00049,D00049,5,1439,0.08,6619.4,5445.83,1173.57,1961,Cancelled
O00050,12/29/2023 0:00,C0780,P242,E057,B09,PAY00050,D00050,3,1156.04,0.05,3294.71,2481.28,813.43,4149,Delivered
O00051,12/14/2025 0:00,C0801,P180,E098,B10,PAY00051,D00051,5,847.83,0.11,3772.84,2895.56,877.28,3217,Delivered
O00052,3/19/2021 0:00,C0763,P067,E039,B11,PAY00052,D00052,3,477.7,0.11,1275.46,800.3,475.16,2493,Delivered
O00053,7/18/2023 0:00,C1083,P286,E108,B11,PAY00053,D00053,4,363.19,0.18,1191.26,758.76,432.5,1487,Cancelled
O00054,8/26/2021 0:00,C0240,P040,E144,B06,PAY00054,D00054,2,515.16,0.19,834.56,652.69,181.87,2402,Pending
O00055,10/14/2024 0:00,C1108,P254,E079,B06,PAY00055,D00055,3,722.02,0.04,2079.42,1454.96,624.46,912,Delivered
O00056,9/20/2023 0:00,C0300,P139,E028,B07,PAY00056,D00056,1,338.04,0.17,280.57,217.74,62.83,1876,Delivered
O00057,1/15/2024 0:00,C0890,P093,E078,B05,PAY00057,D00057,1,1200.96,0.18,984.79,825.12,159.67,3941,Pending
O00058,7/19/2024 0:00,C0408,P179,E118,B14,PAY00058,D00058,1,576.08,0.05,547.28,338.04,209.24,3653,Delivered
O00059,10/22/2020 0:00,C1084,P207,E074,B03,PAY00059,D00059,1,90.45,0.19,73.26,60.09,13.17,4939,Pending
O00060,12/1/2022 0:00,C0718,P141,E036,B10,PAY00060,D00060,1,1000.85,0.06,940.8,839.41,101.39,4148,Delivered
O00061,10/19/2021 0:00,C0545,P136,E014,B06,PAY00061,D00061,3,868.74,0.12,2293.47,1976.06,317.41,4848,Cancelled
O00062,11/7/2023 0:00,C0901,P146,E044,B03,PAY00062,D00062,1,201.01,0.13,174.88,110.15,64.73,2721,Cancelled
O00063,10/11/2025 0:00,C0143,P209,E124,B08,PAY00063,D00063,3,322.92,0.03,939.7,644.21,295.49,945,Cancelled
O00064,3/6/2020 0:00,C0241,P227,E039,B01,PAY00064,D00064,1,964.58,0.17,800.6,597.41,203.19,774,Delivered
O00065,2/26/2021 0:00,C0807,P051,E126,B13,PAY00065,D00065,2,527.3,0.01,1044.05,729.43,314.62,3656,Cancelled
O00066,10/10/2024 0:00,C0044,P065,E107,B08,PAY00066,D00066,1,239.02,0.07,222.29,139.56,82.73,3052,Cancelled
O00067,5/11/2024 0:00,C0187,P219,E033,B11,PAY00067,D00067,3,1239.3,0.08,3420.47,2965.52,454.95,4910,Delivered
O00068,8/22/2022 0:00,C0740,P181,E011,B15,PAY00068,D00068,5,730.43,0.05,3469.54,2976.68,492.86,575,Cancelled
O00069,6/13/2024 0:00,C0881,P004,E136,B04,PAY00069,D00069,2,1266.93,0.09,2305.81,1492.74,813.07,4495,Delivered
O00070,11/15/2020 0:00,C0705,P107,E054,B10,PAY00070,D00070,4,606.31,0.11,2158.46,1775.02,383.44,1758,Delivered
O00071,4/13/2020 0:00,C0957,P143,E026,B02,PAY00071,D00071,3,39.58,0.11,105.68,70.23,35.45,2207,Cancelled
O00072,3/24/2021 0:00,C0885,P052,E090,B03,PAY00072,D00072,4,1443.25,0.03,5599.81,4237.6,1362.21,2901,Pending
O00073,1/23/2022 0:00,C0999,P169,E107,B10,PAY00073,D00073,5,397.25,0.01,1966.39,1741.68,224.71,1258,Delivered
O00074,10/23/2024 0:00,C0246,P246,E025,B05,PAY00074,D00074,2,1212.21,0.14,2085,1468.25,616.75,4213,Pending
O00075,8/15/2024 0:00,C0042,P299,E144,B11,PAY00075,D00075,3,1179.06,0.19,2865.12,2155.99,709.13,689,Cancelled
O00076,12/26/2024 0:00,C1082,P117,E015,B15,PAY00076,D00076,3,526.13,0.12,1388.98,1106.54,282.44,1985,Cancelled
O00077,2/4/2024 0:00,C0470,P012,E137,B15,PAY00077,D00077,4,153.42,0.04,589.13,503.08,86.05,1503,Cancelled
O00078,7/5/2024 0:00,C0263,P213,E053,B11,PAY00078,D00078,4,175.38,0.16,589.28,474.61,114.67,4556,Delivered
O00079,1/8/2020 0:00,C0049,P123,E132,B04,PAY00079,D00079,3,1080.7,0.15,2755.79,1723.14,1032.65,4653,Delivered
O00080,12/9/2024 0:00,C0888,P287,E062,B12,PAY00080,D00080,2,688.6,0.1,1239.48,796.42,443.06,3900,Delivered
O00081,7/24/2022 0:00,C0844,P002,E005,B02,PAY00081,D00081,2,1245.11,0,2490.22,1551.08,939.14,1833,Pending
O00082,1/19/2024 0:00,C0097,P030,E090,B07,PAY00082,D00082,5,55.69,0.06,261.74,187.38,74.36,4434,Cancelled
O00083,7/31/2024 0:00,C0547,P103,E104,B01,PAY00083,D00083,3,280.09,0.11,747.84,521.96,225.88,2021,Delivered
O00084,8/5/2021 0:00,C0345,P251,E098,B10,PAY00084,D00084,5,569.99,0.11,2536.46,1923.79,612.67,911,Cancelled
O00085,9/5/2021 0:00,C0913,P130,E147,B01,PAY00085,D00085,2,143.33,0.18,235.06,204.02,31.04,1268,Delivered
O00086,4/19/2020 0:00,C0366,P201,E130,B02,PAY00086,D00086,5,485.3,0.19,1965.47,1447,518.47,1450,Cancelled
O00087,11/11/2023 0:00,C0155,P097,E113,B08,PAY00087,D00087,3,1226.08,0.03,3567.89,2782.1,785.79,4343,Pending
O00088,6/30/2024 0:00,C0914,P104,E101,B03,PAY00088,D00088,4,1330.66,0.01,5269.41,3755.55,1513.86,4711,Cancelled
O00089,5/8/2021 0:00,C1137,P041,E067,B11,PAY00089,D00089,5,271.21,0.15,1152.64,905.05,247.59,2588,Pending
O00090,4/22/2025 0:00,C0449,P215,E121,B05,PAY00090,D00090,2,1253.5,0.04,2406.72,1603.87,802.85,3914,Pending
O00091,6/2/2025 0:00,C0176,P283,E078,B07,PAY00091,D00091,4,1432.27,0.07,5328.04,4645.48,682.56,1145,Pending
O00092,7/31/2024 0:00,C0225,P289,E117,B08,PAY00092,D00092,3,834.49,0.1,2253.12,1670.46,582.66,4618,Delivered
O00093,12/7/2024 0:00,C1065,P268,E053,B11,PAY00093,D00093,4,155.6,0.09,566.38,470.54,95.84,3596,Delivered
O00094,6/28/2021 0:00,C0685,P294,E002,B10,PAY00094,D00094,4,35.54,0.16,119.41,85.05,34.36,1141,Delivered
O00095,3/11/2025 0:00,C0167,P168,E150,B07,PAY00095,D00095,4,648.09,0.01,2566.44,1662.05,904.39,4501,Pending
O00096,8/23/2023 0:00,C0879,P249,E010,B10,PAY00096,D00096,3,1015.26,0.07,2832.58,2234.73,597.85,2641,Delivered
O00097,9/8/2020 0:00,C0394,P148,E070,B05,PAY00097,D00097,5,797.89,0.17,3311.24,2251.77,1059.47,3999,Cancelled
O00098,6/10/2024 0:00,C0684,P153,E096,B14,PAY00098,D00098,2,879.91,0.07,1636.63,1372.48,264.15,4042,Pending
O00099,2/11/2025 0:00,C0152,P196,E143,B07,PAY00099,D00099,1,610.52,0.05,579.99,520.37,59.62,4283,Delivered
O00100,6/25/2021 0:00,C0376,P149,E099,B04,PAY00100,D00100,1,577.6,0.01,571.82,404.76,167.06,2422,Delivered
O00101,3/9/2020 0:00,C0295,P046,E090,B13,PAY00101,D00101,3,374.17,0.01,1111.28,956.94,154.34,587,Pending
O00102,1/6/2023 0:00,C0651,P223,E091,B11,PAY00102,D00102,1,736.45,0.2,589.16,433.2,155.96,1965,Delivered
